57.40;18.70;18.12;2003
58.40;18.70;18.15;4008
58.60;18.70;18.16;6013
57.70;18.70;18.13;8018
56.90;18.70;18.11;10023
56.60;18.70;18.10;12028
56.50;18.70;18.10;14033
56.60;18.70;18.10;16038
57.60;18.70;18.13;18043
58.00;18.70;18.14;20048
58.60;18.70;18.16;22052
60.20;18.70;18.20;24057
60.90;18.70;18.22;26062
60.80;18.70;18.21;28067
60.00;18.70;18.19;30073
59.20;18.70;18.17;32078
58.60;18.70;18.16;34083
58.20;18.70;18.15;36087
58.00;18.70;18.14;38092
57.90;18.70;18.14;40098
57.80;18.70;18.13;42103
57.80;18.70;18.13;44108
57.90;18.70;18.14;46112
57.90;18.70;18.14;48117
58.00;18.70;18.14;50123
58.00;18.70;18.14;52128
57.60;18.70;18.13;54133
57.20;18.70;18.12;56138
